symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed,fused_score,fused_confidence,sentiment_confidence,rl_score,rl_confidence
ALG,0.14663600642040286,0.0,0.0,0.0,0.5,0.0,0.3797881321651067,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
ARKOW,0.05924019030803871,0.0,0.0,0.0,0.5,0.0,0.36332904281930867,0.2857142857142857,86,0.5,0.6499999999999999,0.6,0.5,0.7
ASLE,0.16199877563701842,0.0,0.0,0.0,0.5,0.0,0.4040178807491187,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
BIPC,0.25742314586182685,0.0,0.0,0.0,0.5,0.0,0.41971615695564374,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CGNX,0.08364608623325924,0.0,0.0,0.0,0.5,0.0,0.38121249414977726,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CPAY,0.31900761404425276,0.0,0.0,0.0,0.5,0.0,0.4303801849133279,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CPSL,0.2690427329391763,0.0,0.0,0.0,0.5,0.0,0.4126243748517199,0.2857142857142857,86,0.5,0.6499999999999999,0.6,0.5,0.7
FOXF,0.11511458791523732,0.0,0.0,0.0,0.5,0.0,0.39812854909811957,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
GGM,0.06381187036105128,0.0,0.0,0.0,0.5,0.0,0.3643576708312365,0.2857142857142857,76,0.5,0.6499999999999999,0.6,0.5,0.7
GXAI,0.07833233294319157,0.0,0.0,0.0,0.5,0.0,0.4127448338938733,0.2857142857142857,88,0.5,0.6499999999999999,0.6,0.5,0.7
HAS,0.31309057666855306,0.0,0.0,0.0,0.5,0.0,0.43667447886644584,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
IDCC,0.21170769397907152,0.0,0.0,0.0,0.5,0.0,0.4300294989566872,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
INDI,0.09948114494587999,0.0,0.0,0.0,0.5,0.0,0.4010156505373225,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
MPC,0.22791966480037268,0.0,0.0,0.0,0.5,0.0,0.40778803949792536,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
PACB,0.39571930946443973,0.0,0.0,0.0,0.5,0.0,0.4540018951005165,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
PAYS,0.1594169818985368,0.0,0.0,0.0,0.5,0.0,0.39096794619975495,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
PBI,0.14031622351751427,0.0,0.0,0.0,0.5,0.0,0.3895117304590087,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
PRTS,0.09543456658290729,0.0,0.0,0.0,0.5,0.0,0.42643480578808113,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
RBBN,0.12871442940902353,0.0,0.0,0.0,0.5,0.0,0.39441796059242284,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
RDNW,0.3465838772068117,0.0,0.0,0.0,0.5,0.0,0.4120603791686473,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
RVTY,0.294358926344514,0.0,0.0,0.0,0.5,0.0,0.4393213501477752,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
SXI,0.3380165186898536,0.0,0.0,0.0,0.5,0.0,0.44950236087146656,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
V,0.10836734379453426,0.0,0.0,0.0,0.5,0.0,0.3816082059484216,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
XPL,0.10926667026828754,0.0,0.0,0.0,0.5,0.0,0.4140032870781312,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
